class_id,label,video_name,split,video_path,status,error,mae,max_difference,matching_percentage,exact_match,frames,left_detections,right_detections
16,eat,Eat_2.mp4,test,D:\Amrita SLR Dataset\sign project\16.eat\Eat_2.mp4,MATCH,,0.0,0.0,100.0,True,58,25,21
15,boy,0403(33).mp4,test,D:\Amrita SLR Dataset\sign project\15.boy\0403(33).mp4,MATCH,,0.0,0.0,100.0,True,63,6,46
25,mother,KrishnarajMother1.mp4,test,D:\Amrita SLR Dataset\sign project\25.mother\KrishnarajMother1.mp4,MATCH,,0.0,0.0,100.0,True,69,7,40
24,help,Help -3.mp4,test,D:\Amrita SLR Dataset\sign project\24.help\Help -3.mp4,MATCH,,0.0,0.0,100.0,True,105,19,14
22,father,Father_2.mp4,test,D:\Amrita SLR Dataset\sign project\22.father\Father_2.mp4,MATCH,,0.0,0.0,100.0,True,62,1,25
23,evening,0403(100).mp4,test,D:\Amrita SLR Dataset\sign project\23.evening\0403(100).mp4,MATCH,,0.0,0.0,100.0,True,71,38,37
29,nose,manideepnose-1.mp4,test,D:\Amrita SLR Dataset\sign project\29.nose\manideepnose-1.mp4,MATCH,,0.0,0.0,100.0,True,42,1,3
29,nose,Nose_2.mp4,test,D:\Amrita SLR Dataset\sign project\29.nose\Nose_2.mp4,MATCH,,0.0,0.0,100.0,True,71,1,32
29,nose,KrishnarajNose2.mp4,test,D:\Amrita SLR Dataset\sign project\29.nose\KrishnarajNose2.mp4,MATCH,,0.0,0.0,100.0,True,82,2,39
30,sleep,KrishnarajSleep3.mp4,test,D:\Amrita SLR Dataset\sign project\30.sleep\KrishnarajSleep3.mp4,MATCH,,0.0,0.0,100.0,True,77,23,9
31,sit,Sit_3.mp4,test,D:\Amrita SLR Dataset\sign project\31.sit\Sit_3.mp4,MATCH,,0.0,0.0,100.0,True,81,44,43
31,sit,manideepsit-3.mp4,test,D:\Amrita SLR Dataset\sign project\31.sit\manideepsit-3.mp4,MATCH,,0.0,0.0,100.0,True,70,21,24
30,sleep,Sleep -2.mp4,test,D:\Amrita SLR Dataset\sign project\30.sleep\Sleep -2.mp4,MATCH,,0.0,0.0,100.0,True,75,12,40
31,sit,Sit3.mp4,test,D:\Amrita SLR Dataset\sign project\31.sit\Sit3.mp4,MATCH,,0.0,0.0,100.0,True,101,46,43
32,sorry,manideepsorry-1.mp4,test,D:\Amrita SLR Dataset\sign project\32.sorry\manideepsorry-1.mp4,MATCH,,0.0,0.0,100.0,True,56,3,35
24,help,manideephelp-2.mp4,test,D:\Amrita SLR Dataset\sign project\24.help\manideephelp-2.mp4,MATCH,,0.0,0.0,100.0,True,64,9,12
27,Night,KrishnarajNight3.mp4,test,D:\Amrita SLR Dataset\sign project\27.Night\KrishnarajNight3.mp4,MATCH,,0.0,0.0,100.0,True,94,36,50
27,Night,0403(75).mp4,test,D:\Amrita SLR Dataset\sign project\27.Night\0403(75).mp4,MATCH,,0.0,0.0,100.0,True,94,34,48
28,Music,0403(64).mp4,test,D:\Amrita SLR Dataset\sign project\28.Music\0403(64).mp4,MATCH,,0.0,0.0,100.0,True,115,40,72
24,help,Help_1.mp4,test,D:\Amrita SLR Dataset\sign project\24.help\Help_1.mp4,MATCH,,0.0,0.0,100.0,True,74,35,39
23,evening,Evening 2.mp4,test,D:\Amrita SLR Dataset\sign project\23.evening\Evening 2.mp4,MATCH,,0.0,0.0,100.0,True,91,37,30
23,evening,KrishnarajEvening1.mp4,test,D:\Amrita SLR Dataset\sign project\23.evening\KrishnarajEvening1.mp4,MATCH,,0.0,0.0,100.0,True,77,33,37
36,study,Study 2(1).mp4,test,D:\Amrita SLR Dataset\sign project\36.study\Study 2(1).mp4,MATCH,,0.0,0.0,100.0,True,120,36,33
34,stop,STOP 3.mp4,test,D:\Amrita SLR Dataset\sign project\34.stop\STOP 3.mp4,MATCH,,0.0,0.0,100.0,True,55,17,14
34,stop,0403(65).mp4,test,D:\Amrita SLR Dataset\sign project\34.stop\0403(65).mp4,MATCH,,0.0,0.0,100.0,True,54,34,39
34,stop,KrishnarajStop1.mp4,test,D:\Amrita SLR Dataset\sign project\34.stop\KrishnarajStop1.mp4,MATCH,,0.0,0.0,100.0,True,50,10,34
33,stand,KrishnarajStand1.mp4,test,D:\Amrita SLR Dataset\sign project\33.stand\KrishnarajStand1.mp4,MATCH,,0.0,0.0,100.0,True,71,31,36
33,stand,0403(69).mp4,test,D:\Amrita SLR Dataset\sign project\33.stand\0403(69).mp4,MATCH,,0.0,0.0,100.0,True,90,44,50
32,sorry,0403(60).mp4,test,D:\Amrita SLR Dataset\sign project\32.sorry\0403(60).mp4,MATCH,,0.0,0.0,100.0,True,74,1,40
36,study,manideepstudy-2.mp4,test,D:\Amrita SLR Dataset\sign project\36.study\manideepstudy-2.mp4,MATCH,,0.0,0.0,100.0,True,66,28,29
40,tommorow,Tomorrow 3(1).mp4,test,D:\Amrita SLR Dataset\sign project\40.tommorow\Tomorrow 3(1).mp4,MATCH,,0.0,0.0,100.0,True,97,1,42
39,today,Today -1.mp4,test,D:\Amrita SLR Dataset\sign project\39.today\Today -1.mp4,MATCH,,0.0,0.0,100.0,True,93,2,27
38,thankyou,Thankyou -1.mp4,test,D:\Amrita SLR Dataset\sign project\38.thankyou\Thankyou -1.mp4,MATCH,,0.0,0.0,100.0,True,95,32,34
40,tommorow,krishnarajtommorow_2.mp4,test,D:\Amrita SLR Dataset\sign project\40.tommorow\krishnarajtommorow_2.mp4,MATCH,,0.0,0.0,100.0,True,63,1,47
38,thankyou,Thank you 1.mp4,test,D:\Amrita SLR Dataset\sign project\38.thankyou\Thank you 1.mp4,MATCH,,0.0,0.0,100.0,True,84,37,42
37,teacher,0403(109).mp4,test,D:\Amrita SLR Dataset\sign project\37.teacher\0403(109).mp4,MATCH,,0.0,0.0,100.0,True,71,31,47
37,teacher,TEACHER 2.mp4,test,D:\Amrita SLR Dataset\sign project\37.teacher\TEACHER 2.mp4,MATCH,,0.0,0.0,100.0,True,76,37,39
38,thankyou,THANKYOU 2.mp4,test,D:\Amrita SLR Dataset\sign project\38.thankyou\THANKYOU 2.mp4,MATCH,,0.0,0.0,100.0,True,56,31,27
43,yesterday,Yesterday -2.mp4,test,D:\Amrita SLR Dataset\sign project\43.yesterday\Yesterday -2.mp4,MATCH,,0.0,0.0,100.0,True,71,7,26
42,work,Work -3.mp4,test,D:\Amrita SLR Dataset\sign project\42.work\Work -3.mp4,MATCH,,0.0,0.0,100.0,True,103,28,13
41,welcome,WELCOME 2.mp4,test,D:\Amrita SLR Dataset\sign project\41.welcome\WELCOME 2.mp4,MATCH,,0.0,0.0,100.0,True,62,32,26
41,welcome,manideepwelcome-2.mp4,test,D:\Amrita SLR Dataset\sign project\41.welcome\manideepwelcome-2.mp4,MATCH,,0.0,0.0,100.0,True,87,30,42
43,yesterday,Yesterday 3(1).mp4,test,D:\Amrita SLR Dataset\sign project\43.yesterday\Yesterday 3(1).mp4,MATCH,,0.0,0.0,100.0,True,103,2,36
44,teeth,KrishnarajTeeth2.mp4,test,D:\Amrita SLR Dataset\sign project\44.teeth\KrishnarajTeeth2.mp4,MATCH,,0.0,0.0,100.0,True,83,2,49
45,hand,Hand -1.mp4,test,D:\Amrita SLR Dataset\sign project\45.hand\Hand -1.mp4,MATCH,,0.0,0.0,100.0,True,105,26,26
45,hand,Hand -3.mp4,test,D:\Amrita SLR Dataset\sign project\45.hand\Hand -3.mp4,MATCH,,0.0,0.0,100.0,True,93,29,26
46,write,manideepwrite-3.mp4,test,D:\Amrita SLR Dataset\sign project\46.write\manideepwrite-3.mp4,MATCH,,0.0,0.0,100.0,True,88,17,27
46,write,0403(139).mp4,test,D:\Amrita SLR Dataset\sign project\46.write\0403(139).mp4,MATCH,,0.0,0.0,100.0,True,90,40,33
46,write,0403(137).mp4,test,D:\Amrita SLR Dataset\sign project\46.write\0403(137).mp4,MATCH,,0.0,0.0,100.0,True,66,41,41
45,hand,krishnarajhand3.mp4,test,D:\Amrita SLR Dataset\sign project\45.hand\krishnarajhand3.mp4,MATCH,,0.0,0.0,100.0,True,72,37,40
48,ring,0403(140).mp4,test,D:\Amrita SLR Dataset\sign project\48.ring\0403(140).mp4,MATCH,,0.0,0.0,100.0,True,79,46,46
47,umberlla,manideepumbrella-1.mp4,test,D:\Amrita SLR Dataset\sign project\47.umberlla\manideepumbrella-1.mp4,MATCH,,0.0,0.0,100.0,True,66,35,26
47,umberlla,UMBRELLA 2.mp4,test,D:\Amrita SLR Dataset\sign project\47.umberlla\UMBRELLA 2.mp4,MATCH,,0.0,0.0,100.0,True,67,44,36
48,ring,KrishnarajRing1.mp4,test,D:\Amrita SLR Dataset\sign project\48.ring\KrishnarajRing1.mp4,MATCH,,0.0,0.0,100.0,True,89,52,48
